often (2 words)|a menudo
mute (adjective) (masculine)|mudo
mute (adjective) (feminine)|muda
the sentence, phrase, prayer (starts with o)|la oración
the origin|el origen
the prefix|el prefijo
to preserve|preservar
to come from (starts with p)|proceder de
to publish|publicar
the feature (starts with r)|el rasgo
the acknowledgement|el reconocimiento
the syllable|la sílaba
surprising (ends in e)|sorprendente
the term, word|el término
the terminology|la terminología
to borrow (starts with t)|tomar prestado
the vowel|la vocal
the cliff|el acantilado
the soul|el alma
the height|la altura
the width|el ancho
in the past/formerly|antiguamente
the roman baths|los baños romanos
the neighbourhood/area/district|el barrio
the bell tower|el campanario
the cycle of the moon|el ciclo lunar
to colonise|colonizar
the conqueror (male)|el conquistador
the conqueror (female)|la conquistadora
the mountain range|la cordillera
to crown|coronar
the belief|la creencia
to leave|dejar
to enrich|enriquecer
the enrichment|el enriquecimiento
the legacy|la herencia
in honour of|en honor a
the trace/footprint/fingerprint|la huella
labourious (masculine)|laborioso
labourious (feminine)|laboriosa
to measure (irregular)|medir
the dead|los muertos
originally (ends in e)|originariamente
the pilgrimage (feminine)|la peregrinación
to make a pilgrimage|peregrinar
the indigenous population (1st word ends with n)|la población aborigen
the village, settlement (masculine noun)|el poblado
privileged (masculine)|privilegiado
privileged (feminine)|privilegiado
the indigenous people/indigenous settlement|el pueblo indígena
the ramp|la ranpa
to pray|rezar
the wealth|la riqueza
the priest (male)|el sacerdote
the priest (female)|la sacerdotista
the shrine|el santuario
to loot|saquear
the grave, tomb|la sepultura
the treasure|el tesoro
the value|el valor
to value|valorar
the living|los vivos
the archaeological site|el yacimiento arqueológico
the rural area|la zona rural
the urban area|la zona urbana
the steel|el acero
the horseshoe arch|el arco de herradura
the architect (male)|el arquitecto
the architect (female)|la arquitecta
the self-portrait|el autorretrato
the tile|el azulejo
the vault|la bóveda
the colouring|el colorido
to build (starts with c)|construir
the glass|el cristal
the painting, canvas (starts with c)|el cuadro
to wreck, ruin|destrozar
to build (starts with e)|edificar
the dwarf, little person (male)|el enano
the dwarf, little person (female)|la enana
to sculpt|esculpir
the sculptor (male)|el escultor
the sculptor (female)|la escultora
spectacular|espectacular
the mirror|el espejo
the architectural style|el estilo arquitectónico
the pictorial style|el estilo pictórico
the façade, front of a building|la fachada
the straight form/shape|la forma recta
the architectural genre|el género arquitectónico
the genius (always ends in o (male)|el genio
the genius (always ends in o (female)|la genio
the iron|el hierro
the interior|el interior
the architectural jewel|la joya arquitectónica
the brick|el ladrillo
the canvas, painting (starts with L)|el lienzo
the wood|la madera
the mural (painting)|el mural
the work of engineering|la obra de ingeniería
the masterpiece|la obra maestra
wavy (ends in e)|ondulante
the wall|la pared
the stone|piedra
the paint brush|el pincel
the portrait painting|la pintura retratista
the pyramid|la pirámide
to paint (a portrait), to portray|retratar
the portrait|el retrato
the roof, ceiling|el techo
the stained glass window|la vidriera
to accompany|acompañar
to encourage someone|animar a alguien
to applaud|aplaudir
the applause|el aplauso
the harmony|la armonía
the (flamenco) dancer (male)|el bailaor
the (flamenco) dancer (female)|la bailaora
to brandish|blandir
the (flamenco) singer (male)|el cantaor
the (flamenco) singer (female)|la cantaora
the composer (male)|el compositor
the composer (female)|la compositora
the double bass|el contrabajo
naked (masculine)|desnudo
naked (feminine)|desnuda
the orchestra conductor (3 words) (male)|el director de orquesta
the orchestra conductor (3 words) (female)|la directora de orquesta
learned (masculine)|docto
learned (feminine)|docta
the sword|la espada
the luggage|el equipaje
to bring to mind, to evoke|evocar
the flute|la flauta
the arrow|la flecha
the forger (always has "la") regardless of gender (male)|la forjador
the forger (always has "la") regardless of gender (female)|la forjadora
the bagpipe|la gaita
the brilliance|la genialidad
the gypsy (male)|el gitano
the gypsy (female)|la gitana
the great talent|el gran talento
the guitarist (always ends in a) (male)|el guitarrista
the guitarist (always ends in a) (female)|la guitarrista
the melody|la melodía
to mix|mezclar
to suffer (starts with a p)|padecer
the palm of one's hand|la palma de la mano
the tambourine (does not start with a t)|la pandereta
the (musical) score/sheet music|la partitura
the step|el paso
the the pilgrimage (masculine)|el peregrinaje
the branch|la rama
to rescue|rescatar
the rhythm|el ritmo
the sign of identity/distinguishing mark|la seña de identidad
the symphony|la sinfonía
the theme song|la sintonía
to sound|sonar
the sound|el sonido
to tap/to click one's heels (i'm assuming in a context where's you're straight jamming)|taconear
the clicking/the tapping of one's heels|el taconeo
the drum (starts with t)|el tambor
to play a song/piece of music (starts with t) (3 words)|tocar una composición
the cellist (male)|el violonchelista
the cellist (female)|la violonchelista
to pull someone's leg|tomar el pelo
to be a piece of cake|ser pan comido
to be straightforward|no tener pelos en la lengua
to contribute a little bit (but at least it's still something)|poner un grnito de arena
to be stunned|quedarse de piedra
to be in a bad mood|tener un humor de perro
my mouth is watering|se me hace agua la boca
to be loaded with cash, to be absolutely stacked|tiene más lana que un borrego
to be broke|estar sin blanca
to be a night owl|ser un ave nocturna
to find your soulmate|encontrar a tu media naranja
to look for Mr Right|buscar al príncipe azul
to view things a little too optimistically|ver todo de color rosa
to be very old|ser del año de la pera
to be here, there, and everywhere|estar hasta en la sopa
to not make any sense|no tener pies ni cabeza
to not be able to sleep|no pegar un ojo
to cross the line|pasarse de la raya
pick your poison (literally: "between the sword and the wall")|entre la espada y la pared
of good faith|de buena fe
the abbey, the priest's house|la abadía
to pounce on (reflexive)|abalanzarse
the ceiling fan, the handhold fan|el abanico
the lawyer (male)|el abogado
the lawyer (female)|la abogada
the oil (starts with 'a')|el aceite
the irrigation ditch|la acequia
to clarify, explain (starts with a)|aclarar
to receive, take in|acoger
well-to-do (masculine)|acomodado
well-to-do (feminine)|acomodada
to round up; corner (as in "to trap")|acorralar
to pursue; urge on (same as "to bully")|acosar
to come, gather around (same as "to go to" as in, "to go to the polls") (starts with a)|acudir
to accuse; show (starts with "ac")|acusar
to confess (like "to accuse oneself") (reflexive)|acusarse
devoted, loyal (like "addicted") (masculine)|adicto
devoted, loyal (like "addicted") (feminine)|adicta
the land agent (male)|el administrador
the land agent (female)|la administradora
the dressing, pickling mixture|el adobo
to notice; point out; notify; advise (like "advert")|advertir
the grindstone; knife-grinder|el afilador
the outskirts|las afueras
to clutch|agarrar
to hold on to (has "a" after the word) (reflexive)|agarrarse a
the dying person (male)|el agonizante
the dying person (female)|la agonizante
to turn sour|agriar
the hole|el agujero
to sharpen (starts with "ag")|aguzar
to prick up one's ears (3 words) (1st word starts with "agu")|aguzar el oído
to dig deep (starts with "ah")|ahondar
smoked, smoky (masculine)|ahumado
smoked, smoky (feminine)|ahumada
to scare/drive away; keep off (starts with "ah")|ahuyentar
the garlic|el ajo
the dawn; alb (white robe worn by priest)|la alba
the packsaddle|la albarda
to stir up; incite to rebel|alborotar
the mayor (male)|el alcalde
the mayor (female)|la alcaldesa
the camphor|el alcanfor
the bedroom, sleeping compartment (starts with a)|la alcoba
drilled, coached (starts with "al") (masculine)|aleccionado
drilled, coached (starts with "al") (feminine)|aleccionada
to keep/drive away, to move something further away (starts with "al")|alejar
to move away (get yourself further away from something), to grow apart (reflexive)|alejarse
the carpet; mat|la alfombra
noisy, rowdy (starts with "alg") (masculine)|algarero
noisy, rowdy (starts with "alg") (feminine)|algarera
the furze, gorse|la aliaga
the breath; courage|el aliento
the wild animal (predator)|la alimaña
to line up (reflexive)|alinearse
the warehouse, store|el almacén
starched (masculine)|almidonado
starched (feminine)|almidonada
the pillow|la almohada
for hire|de alquiler
the housekeeper (male)|el amo
the housekeeper (female)|la ama
affected (starts with "am") (masculine)|amanerado
affected (starts with "am") (feminine)|amanerada
the ambit; confines|el ámbito
the threat|la amenaza
the machine gun|la ametralladora
the master (slave owner) (male)|el amo
the master (slave owner) (female)|la ama
to store; pile up (starts with "amo")|amontonar
the haunch; hip (culinary term for "cadera" e.g chicken thighs or frog legs)|la anca
former, previous; earlier; front (doesn't change based on gender)|anterior
to want, fancy (starts with "an") (reflexive)|antojarse
the longing, nostalgia (starts with "añ")|la añoranza
to extinguish, turn off (starts with "ap")|apagar
to agree to; promise; engage (starts with "apal")|apalabrar
compressed, solid (masculine)|apelmazado
compressed, solid (feminine)|apelmazada
leaning (comes from "apoyar") (masculine)|apoyado
leaning (comes from "apoyar") (feminine)|apoyada
to clasp, grip (starts with "apr")|apretar
the bet, wager|la apuesta
to come up (of planted seeds), sprout (starts with "apu")|apuntar
to scratch|arañar
the shrub, bush|el arbusto
to pull out|arrancar
to drag (along)|arrastrar
the leasing; rent, rental|el arrendamiento (or arriendo)
to risk|arriesgar
to take a risk, to risk oneself (reflexive)|arriesgarse
the support; attachment (starts with "arri")|el arrimo
to kneel (reflexive)|arrodillarse
to roll up (starts with a)|arrollar
the wrinkle; crease; fold (this is written down in the book as a diminutive)|la arruguita
the trap, snare|la asechanza
the loathing, disgust, revulsion|el asco
thus, so, like that|así
just like that; anyway|así como
to show, appear; look out (starts with "as") (reflexive)|asomarse
harshly, gruffly (adjective ends in e)|ásperamente
the matter, business, point|el asunto
to get down to business (has "asunto")|ir al asunto
frightened (starts with "as") (masculine)|asustado
frightened (starts with "as") (feminine)|asustada
busy (starts with a) (masculine)|atareado
busy (starts with a) (feminine)|atareada
to abide/stand by; hold to (has a after the word) (reflexive)|atenerse a
to dare (reflexive)|atreverse
troubled, distressed (masculine)|atribulado
troubled, distressed (feminine)|atribulada
the porch|el atrio
incoherently, in a rushed way (adjective ends in e)|atropelladamente
to smooth, twirl|atusar
to smooth, twirl moustache (3 words)|atusar los bigotes
to discover, find out (starts with a)|averiguar
(in the process of) fasting (has "en" before the word) (like "en paro")|en ayunas
the town hall, the town council (starts with a)|el ayuntamiento
the crozier, bishop's staff|el báculo
the clapper (of a bell)|el badajo
the blockhead, idiot (male)|el badulaque
the blockhead, idiot (female)|la badulaque
the bullet|la bala
the flock, flight (starts with b)|la bandada
the tray, salver|la bandeja
swinging, moving to and fro; beating (masculine)|bandeo
swinging, moving to and fro; beating (feminine)|bandea
the flag (starts with b)|la bandera
the bandore (guitar/lute-like instrument)|la bandurria
the pack of cards|la baraja
to play a double game|jugar con dos
to sweep|barrer
the presentiment, foreboding|el barrunto
the devout/excessively pious woman (rhymes with "miata")|la beata
to bless|bendecir
the two year period, two years|el bienio
the ninepins, skittles|las birlas
the great-grandfather|el bisabuelo
the bag, pouch|la bolsa
embroidered (masculine)|bordado
embroidered (feminine)|bordada
the boot; leather wine bottle|la bota
the vault|la bóveda
spiritedly, with spirit (adjective ends in e)|bravamente
the breviary (preist's prayerbook for daily office)|el breviario
to jump around|brincar
the jest, joke|la broma
to play jokes|gastar bromas
rough, harsh (starts with b) (masculine)|bronco
rough, harsh (starts with b) (feminine)|bronca
the witch|la bruja
the owl|el búho
to mock, to make fun (reflexive)|burlarse
right, proper|cabal
headboard of a bed, head of a table; seat of honour|la cabecera
the leading/bell ox, castrated bull|el cabestro
the end (starts with c)|el cabo
the candle-stump|el cabo de vela
the kid (young goat) (male)|el cabritillo
the kidskin (skin of young goat) (feminine word)|la cabritilla
the chain|la cadena
the hip (anatomy) (starts with c)|la cadera
to fall (in battle) (starts with c)|caer
to fall flat|caer de bruces
the drawer|el cajón
the lime (oxide of calcium)|la cal
the skull (starts with "ca")|la calavera
the broth; clear soup (starts with c)|el caldo
the rickety/wretched bed (kinda like "step-bed")|el camastro
the swap, exchange (starts with "ca")|el cambalache
the belfry, bell/church tower|el campanario
the graveyard, cemetery (starts with "ca")|el camposanto
tired (animals), weary (starts with "cansi") (masculine)|cansino
tired (animals), weary (starts with "cansi") (feminine)|cansina
the cane, reed|la caña
the cape, cloak, layer|la capa
the cope (ceremonial vestment)|la capa pluvial
the chapter|el capítulo
to take to task (has "capítulo")|llamar a capítulo
the hood, cowl (starts with "ca")|la capucha
the guffaw/peal of laughter|la carcajada
to burst out laughing|soltar la carcajada
the jail, prison (starts with "cá")|la cárcel
the traditionalism (starts with c)|el casticismo
the punishment|el castigo
the chasuble (outer Mass vestment)|la casulla
the leader, chief; head of state (Franco had this title)|el caudillo
to dig (starts with c)|cavar
to consider carefully; be obsessed with (starts with "ca")|cavilar
the hunt (starts with c)|la caza
the jealousy (this is a plural word in spanish)|los celos
the border (starts with c)|la cenefa
the ash, ashes, cinder (starts with c)|la ceniza
to gird/put on,; fasten round waist|ceñir
the wax|la cera
the fence (starts with c)|la cera
the cherry|la cereza
the north wind|el cierzo
the stork|la cigüeña
the cymbal; small bell (starts with c)|el cimbal
the ribbon (starts with c)|la cinta
the waist, waistline; girdle (starts with "ci")|la cintura
the church candle (starts with c)|el cirio
the nail (small metal thing)|el clavo
to charge; collect; get paid (starts with "co")|cobrar
to limp (starts with c)|cojear
the balls (anatomy) (colloquial)|los cojones
the mattress|el colchón
hanging (masculine)|colgado
hanging (feminine)|colgada
the corner (of mouth)|la comisura
the retinue; procession (starts with "co")|la comitiva
the time, beat, rhythm of music|el compás
the competition (starts with "com")|la competencia
to receive communication|comulgar
the councillor (starts with "conceja") (male)|el concejal
the councillor (starts with "conceja") (female)|la concejala
to make specific; put one's finger on (starts with "con")|concretar
crowded; well-attended (starts with c) (starts with "con") (masculine)|concurrido
crowded; well-attended (starts with c) (starts with "con") (feminine)|concurrida
the meeting; talk; (univerisity) lecture (starts with c)|la conferencia
to consecrate|consagrar
the town hall (starts with c)|la casa consistorial
the mothers-in-law (of the same couple)|las consuegras
against the grain (2 words) (first word is "a") (has the word for "skin")|a contrapelo
the living together; coexistence|la convivencia
the harvest, vintage|la cosecha
the species of lark|la cotovía
created, made (masculine)|creado
created, made (feminine)|creada
all creation|lo creado
to grow, to grow up (starts with "cre")|crecer
the baby, child (starts with c) (male)|el crío
the baby, child (starts with c) (female)|la cría
the chrism, holy oil (can have either el or la, answer this without definite article)|crisma
contracted, tensed up (masculine)|crispado
contracted, tensed up (feminine)|crispada
to make a castanet sound with beak (as a stork)|crotorar
to crunch (starts with c)|crujir
the camisole|el cubrecorsé
the skin, hide; leather (starts with c)|el cuero
naked (has "en" at the start of the phrase)|en cueros
the slope; hill (road) (starts with "cu")|la cuesta
the blow with rifle butt|el culatazo
the snake (starts with "cu")|la culebra
the ass, anus|el culo
the cradle, cot (starts with "cu")|la cuna
the ditch; verge|la cuneta
the quack (pejorative slang for witch doctor) (starts with c) (male)|el curandero
the quack (pejorative slang for witch doctor) (starts with c) (female)|la curandera
to cure; treat (a wound)|curar
to recover, get better (reflexive)|curarse
the waistcoat (like "chalet") (starts with c)|el chaleco
the singeing, scorching (often indicative of trouble brewing, particularly for heretics)|el chamusco
to click (make a clicking sound with your toungue), crack your fingers|chascar
snub-nosed (Republican biplane) (masculine)|chato
snub-nosed (Republican biplane) (feminine)|chata
to shriek, scream (starts with "ch")|chillar
the (fibrous) gourd (a plant)|la chirigaita
to throw out sparks; sputter|chisporrotear
the hut, shack|la choza
to harm (starts with d)|dañar
to leave; allow; put down; let|dejar
to leave off, stop doing (has "de" after the word)|dejar de
to not fail to (has a word before and a word after)|no dejar de
to let it be understood, imply|dejar entender
to denounce, inform against (pej.) betray, give away; report|denunciar
the straight; right|el derecho
to spill, shed (starts with d)|derramar
knocked down; laid out (on the floor) (starts with "der") (masculine)|derribado
knocked down; laid out (on the floor) (starts with "der") (feminine)|derribada
ungrateful (starts with d) (masculine)|desagradecido
ungrateful (starts with d) (feminine)|desagradecida
to relieve one's feelings; speak one's mind (reflexive)|desahogarse
disregarded; disrespectful (starts with d) (masculine)|desairado
disregarded; disrespectful (starts with d) (feminine)|desairada
the dejection; dismay (starts with "de")|el desaliento
to develop (oneself); evolve (reflexive)|desarrollarse
to exceed; overflow|desbordar
barefoot, unshod (masculine)|descalzo
barefoot, unshod (feminine)|descalza
the unhappiness; misfortune (starts with "desd")|la desdicha
the disbursement; expenditure|el desembolso
to have nothing to do with; pretend not to know (reflexive)|desentenderse
the unwillingness, reluctance (starts with d)|la desgana
the misfortune; bad luck (this word is in a phrase for "unfortunately")|la desgracia
to fray, get worn, come apart (reflexive)|deshilarse
the design, plan, purpose (starts with "de")|el designio
uneven|desigual
without a nose (masculine)|desnarigado
without a nose (feminine)|desnarigada
the skull (hum) (starts with d)|la desnarigada
rickety; uneven (masculine)|desnivelado
rickety; uneven (feminine)|desnivelada
the outspoken statement; impudent remark (starts with "des")|el desplante
the newly-wed (male)|el desposado
the newly-wed (female)|la desposada
become detached, work loose, fall off (reflexive)|desprenderse
dismissed; removed from office; made redundant (starts with d) (masculine)|destituido
dismissed; removed from office; made redundant (starts with d) (feminine)|destituida
the loft, attic (starts with d)|el desván
to keep awake (starts with d)|desvelar
the shamelessness; impudence|la desvergüenza
to stop; detain; arrest|detener
to return something (e.g returning a library book, not returning yourself back to a place) (starts with d)|devolver
the mischief, monkey tricks (answer this as plural)|las diabluras
the coarse/rude remark|el dicharacho
the tooth|el diente
the lip service, without meaning it (3 words)|de dientes afuera
on the lips|en los dientes
mumbling, under the breath|entre dientes
deceased (masculine) (starts with d)|difunto
deceased (feminine) (starts with d)|difunta
the seal, medallion, locket; charm|el dije
the witty remark, colourful saying (Arag) (this is Jerónima's word for "saying")|la dijenda
to apologise (reflexive)|disculparse
the speech (like "discourse") (masculine)|el discurso
to fire, shoot [a bullet, etc.] (this entry of the word is not reflexive)|disparar
to disintegrate (starts with "disg") (reflexive)|disgregarse
the gift (from god), favour (starts with d)|el don
golden, gilded (masculine)|dorado
golden, gilded (feminine)|dorada
the mistress (the 'missus'/lady of the house); the owner|la dueña
the master; owner; landlord; employer|el dueño
to throw (out); put in; put; give; emit|echar
to take/treat as a joke|echar a broma
to call a halt|echar el alto
to catch (literally: "to throw out a hand to")|echar mano a
to threaten (2 words)|echar roncas
to send notice (uses "echar")|echar un parte
well-mannered, polite; cultured (masculine)|educado
well-mannered, polite; cultured (feminine)|educada
the axle; axis; crux|el eje
the praise, tribute (starts with e)|el elogio
to make/get drunk|emborrachar
misted over; blurred (masculine)|empañado
misted over; blurred (feminine)|empañada
to pawn|empeñar
to tar and feather|emplumar
set (in place), embedded (masculine)|empotrado
set (in place), embedded (feminine)|empotrada
to push; urge; work behind the scenes, intrigue|empujar
the petticoat, underskirt (starts with "en")|la enagua
to lock/close/shut up|encerrar
the concealment, complicity|el encubrimiento
lubricated, oiled (masculine)|engrasado
lubricated, oiled (feminine)|engrasada
maddened, driven crazy (masculine)|enloquecido
maddened, driven crazy (feminine)|enloquecida
in/wearing mourning (masculine)|enlutado
in/wearing mourning (feminine)|enlutada
the medicine woman (quack doctor/bone-setter) (starts with e)|la ensalmadora
to darken, cast a shadow|ensombrecer
the integrity; decency; strength of mind; fortitude (starts with "enter")|la entereza
touched, moved (to pity) (starts with "ent") (masculine)|enternecido
touched, moved (to pity) (starts with "ent") (feminine)|enternecida
to half-close (eyes) (starts with "ent")|entornar
the core, essence, entrail|la entraña
half-open (masculine)|entreabierto
half-open (feminine)|entreabierta
to deliver, hand over|entregar
to surrender, to give in (starts with e) (reflexive)|entregarse
to become a widow/widower, to be widowed|enviudar
the epic poem|la epopeya
erect, straight; proud (masculine)|erguido
erect, straight; proud (feminine)|erguida
the hermitage; chapel outside village|la hermita
the (flight of) steps, staircase (rhymes with "miata")|la escalinata
noisy; scandalous (masculine)|escandaloso
noisy; scandalous (feminine)|escandalosa
the broom, brush (starts with e)|la escoba
the hiding place|el escondite
the mole cricket|el escorpión cebollera
searching, penetrating (starts with "es") (masculine)|escrutador
searching, penetrating (starts with "es") (feminine)|escrutadora
the care (starts with "es")|el esmero
the sword|la espada
the fright, terror; dismay; amazement|el espanto
the stuffed dummy|la estaferma
the picture, print (like "stamp")|la estampa
the shot, report (of gun), boom, crash (of thunder)|el estampido
the pool; pond (starts with e)|el estanque
the mat, matting (starts with e)|la estera
the death rattle|el estertor
the stole (Mass vestment)|la estola
the tow; burlap (coarse linen)|la estopa
the running board, stirrup|el estribo
the scrubber, scourer (starts with e)|el estropajo
to surprise; find strange (starts with e)|extrañar
lost, missing; strayed (starts with e) (masculine)|extraviado
lost, missing; strayed (starts with e) (feminine)|extraviada
the task, job, labour (starts with f)|la faena
the band; sas; bandage (starts with f)|la faja
the bundle (starts with f)|el fajo
the headlamp, headlight|el faro
the faith|la fe
to trust (reflexive)|fiarse
faithful, loyal (same for masculine and feminine) (starts with f)|fiel
to snoop, have a look|fisgar
thin (masculine) (starts with f)|flaco
thin (feminine) (starts with f)|flaca
with a pattern of flowers and branches (starts with f) (masculine)|florido
with a pattern of flowers and branches (starts with f) (feminine)|florida
with a pattern of flowers and branches (starts with r) (masculine)|rameado
with a pattern of flowers and branches (starts with r) (feminine)|rameada
the vase|el florero
the kitchen range; hearth|el fogón
the stranger; outsider; visitor; foreigner (starts with f) (male)|el forastero
the stranger; outsider; visitor; foreigner (starts with f) (female)|la forastera
the forge (starts with "fo") (ends with a)|la forja
the wrought iron devil (last word starts with "fo") (last word ends with a)|el diablo de forja
the grave (starts with f)|la fosa
the din, clamour, racket (starts with f)|el fragor
the free, the day off (starts with f) (like "franc")|el franco
the coldness; indifference (like the word for "cold")|la frialdad
to rub|frotar
the bellows; folding extension on a camera|el fuelle
the rifle|el fusil
all dressed up, in one's best clothes (3 words) (masculine)|vestido de gala
all dressed up, in one's best clothes (3 words) (feminine)|vestida de gala
the raggamuffin, urchin; rogue (starts with "ga")|el galopín
the livestock; herd, flock (starts with g)|el ganado
the graceful bearing, fine carriage; attractiveness (starts with g)|el garbo
the marten (male)|el garduño
the marten (female)|la garduña
the expense (starts with g)|el gasto
to revolve; turn around (like "gyrate") (starts with g)|girar
the turn; turn of phase (starts with g)|el giro
the gravel bed|la glera
to beat, strike (starts with g)|golpear
the pleasure, joy (starts with g)|el gozo
the grenade|la granada
the gravel (5 letters)|la grava
the book of magic spells (significant word to use in relation to preist's breviary)|el grimorio
the locket (starts with g)|el guardapelo
the wink; grimace (starts with g)|el guiño
the gossip, scandal; heresay (can also be plural but answer singular) (starts with h)|la habladuría
the estate (starts with h)|la hacienda
the family finances (2 words) (1st word starts with h)|la hacienda familiar
flattering (masculine)|halagador
flattering (feminine)|halagadora
the rags|los harapos
the frost (starts with h)|la helada
the female; woman|la hembra
to inherit|heredar
the wound, injury (starts with h)|la herida
the blacksmith (male)|el herrero
the blacksmith (female)|la herrera
the iron; iron tool/weapon; triangle (mus.) (the instrument)|el hierro
the liver|el hígado
the spinner (male)|el hilandero
the spinner (female)|la hilandera
the row, line (starts with h)|la hilera
the leaf; one side of double door; sheet|la hoja
the niche (starts with h)|la hornacina
the oven, furnace, kiln|el horno
the vegetable (strictly a green vegetable) (starts with h)|la hortaliza
hollow; empty (starts with h) (masculine)|hueco
hollow; empty (starts with h) (feminine)|hueca
the trace, mark (starts with h)|la huella
the fertile area of irrigated fields (starts with h)|la huerta
the kitchen garden (starts with h)|el huerto
the bone|el hueso
shy; shifty; fleeting (masculine)|huidizo
shy; shifty; fleeting (feminine)|huidiza
the theft, robbery (starts with h)|el hurto
Iberian tribe (Huesca/Lérida region) (adjective ends in e)|ilgergete
deluded; a dreamer, visionary (adjective) ("eres un _____") (masculine)|iluso
deluded; a dreamer, visionary (adjective) ("eres un _____") (feminine)|ilusa
the magnet|el imán
beardless (adjective ends in e)|imberbe
crippled, disabled (masculine)|impedido
crippled, disabled (feminine)|impedida
the index, forefinger|el índice
the boast, boasting, arrogance, pretentiousness|la jactancia
the scrub; thicket|el jaral
the hierarchy; rank|la jerarquía
the judge (male)|el juez
the judge (female)|la jueza
the judgement; opinion|el juicio
the Last Judgement|el juicio final
the oath; swear (e.g on the Bible) (starts with j)|el juramento
to judge; to try (in court)|juzgar
carved (in wood) (starts with L) (male)|labrado
carved (in wood) (starts with L) (female)|labrada
the farmer; ploughman; peasant (starts with L)|el labrador
the farmer; ploughwoman; peasant (starts with L)|la labradora
the agricultural labour, farm work, farming; farm (starts with L)|la labranza
to bark|ladrar
the tear (crying)|la lágrima
to lick (starts with L)|lamer
glossy; well-groomed (starts with L) (masculine)|lamido
glossy; well-groomed (starts with L) (feminine)|lamida
the wool|la lana
the pity; compassion; shame (starts with L)|la lástima
the dog Latin (the bad Latin)|el latinajo
the bed (to sleep in); the riverbed (starts with L)|el lecho
the lettuce (starts with L)|la lechuga
to bequeath|legar
the firewood; sticks|la leña
the law|la ley
the nit (creepy crawly)|la liendre
the piece of linen/canvas (e.g óleo sobre ______)|el lienzo
to clean, to clean up, to wipe|limpiar
the strip, lath (which is a stip of wood)|el listón
the madness, lunacy (starts with L)|la locura
the flagstone, slab (starts with L)|la losa
the bright star; morning or evening star|el lucero
the fighter (male)|el luchador
the fighter (female)|la luchadora
the luxury (luxury good, concept of luxury); lavishness|el lujo
the weeping, lamentation|el llanto
to whimper, snivel; whine, winge|lloriquear
the wood|la madera
the godmother; matron of honour|la madrina
ugly, repulsive; fierce/cross-looking (masculine)|malcarado
ugly, repulsive; fierce/cross-looking (feminine)|malcarada
to curse; speak ill/badly of|maldecir
the slander, backbiting (starts with m)|la maledicencia
to cause a rift, set one against each other|malquistar
mauve (adjective always ends in "a")|malva
the youth, young man, youngster (old fashioned)|el mancebo
spot, stain (starts with m)|la mancha
the mantilla; baby clothes|la mantilla
the embroidered Spanish shawl|el mantón
the Manila shawl|el mantón de Manila
more|más
of little value|de poco más o menos
rather (2 words) (1st word starts with m)|más bien
without further/more ado|sin más ni más
the rattle|la matraca
the dirty trick (current wartime term)|la maula
the foreman; overseer; head shepherd (starts with m)|el mayoral
the club (for bashing things) (starts with m)|el mazo
pissed on (taboo) (starts with m) (masculine)|meado
pissed on (taboo) (starts with m) (feminine)|meada
the rocking chair (starts with m)|la mecedora
the south (geog.) (the cardinal direction)|el mediodía
to improve, make better (starts with m)|mejorar
the swaying, the sway, jerk (starts with m)|el meneo
the lie|la mentira
to eat a snack between lunch and supper (to eat an afternoon snack) (starts with m)|merendar
to mix|mezclar
the consideration, respect (starts with m)|el miramiento
the missal or Mass book|el misal
the poverty, destitution; squalid conditions (like "misery") (starts with m)|la miseria
the mitre (bishop's headdress/symbol of office)|la mitra
the dirty face (from game santo in which player's face is dirtied) (starts with m)|la mocarra
the camp follower (starts with m) (male)|el mochilero
the camp follower (starts with m) (female)|la mochilera
wet (starts with m) (masculine)|mojado
wet (starts with m) (feminine)|mojada
to grind; mill (starts with m)|moler
to annoy; bother (starts with m)|molestar
the alter boy|el monaguillo
the alter girl|la monaguilla
the dummy, guy (grotesque figure), jerk (male)|el monicaco
the dummy, guy (grotesque figure), jerk (female)|la monicaca
the monk|el monje
the fly (creepy crawly)|la mosca
the girl, the lass (starts with m)|la moza
the lad (starts with m)|el mozalbete
the tooth (like "molar") (starts with m)|la muela
the old woman (usually applied to lower class)|la mujeruca
the stump (of an amputated limb)|el muñón
the mother-of-pearl|el nácar
to swim|nadar
the cloud|la nube
the knuckle (starts with n)|el nudillo
to obey (starts with o)|obedecer
the bishop (starts with o)|el obispo
the worker (starts with o) (male)|el obrero
the worker (starts with o) (female)|la obrera
the occasion; time; opportunity; cause (like "occasion")|la ocasión
eye; caution; ¡___!; careful!; look out! (don't answer with definite article)|ojo
crusty-eyes (masculine)|ojisucio
crusty-eyes (feminine)|ojisucia
the oil, the holy oil (starts with ó)|el óleo
the navel|el ombligo
the white artemisia (aromatic plant)|la ontina
the law and order (m.); order, command (f.)|el orden
the pride|el orgullo
the godfather, best man|el padrino
the beating, the beating up|la paliza
the corduroy|la pana
the cloth (cloth rag) (starts with p)|el paño
the congratulations (starts with p)|el parabién
the couple (in a relationship); pair (of Civil Guards) (starts with p)|la pareja
the new mother (woman who has recently given birth) (starts with p)|la parida
the relative (starts with p) (male)|el pariente
the relative (starts with p) (female)|la pariente
to parley (a bit like the english)|parlamentar
the parish; parish church|la parroquia
the midwife (starts with p)|la partera
the step; processional float/tableau for Holy Week (starts with p)|el paso
to stop, prevent (has "paso") (3 words)|salir al paso
the pasture; grazing (masculine)|el pasto
